id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
81f1055b7024e30916be7ce468680209,wroclaw,blockOfFlats,67.3,4.0,3.0,4.0,2003.0,51.084846,17.007481,3.27,14.0,0.044,1.397,0.546,0.39,0.14,0.223,0.218,condominium,no,yes,no,no,no,899000
2839c3062a23e72ac4f6ea087ab92fc3,gdansk,apartmentBuilding,46.67,2.0,2.0,6.0,2022.0,54.3564294,18.6203736,2.34,7.0,0.381,0.912,0.491,0.373,0.189,1.737,0.404,condominium,no,yes,yes,yes,no,950000
991b7f82b4ae5433e930e497667332db,lodz,blockOfFlats,38.0,2.0,5.0,6.0,1960.0,51.75963204,19.45841789,2.45,47.0,0.204,0.117,0.411,0.293,0.054,0.796,0.12,cooperative,no,no,yes,no,yes,425000
aabcabdb8fe2a8843a7e8ec08f8f7847,bialystok,blockOfFlats,54.0,3.0,2.0,4.0,1970.0,53.1306932,23.1848001,2.65,21.0,0.192,0.123,0.196,0.173,0.304,1.365,0.093,condominium,no,yes,no,no,yes,536000
10ef0641f3872e292ad4a5eadc4ea9a7,krakow,blockOfFlats,60.0,3.0,2.0,2.0,2012.0,50.0898358,19.8727192,6.06,3.0,0.909,0.423,0.782,0.493,0.895,2.455,1.134,condominium,yes,yes,no,no,no,960000
f37c43aa960e87beb6235aea06ae4813,gdansk,tenement,72.3,4.0,3.0,3.0,1960.0,54.34905,18.65389,0.05,142.0,0.432,0.761,0.221,0.16,0.047,0.741,0.139,condominium,no,yes,no,no,yes,998000
49ba44b509aa00afeb0f2661d0e4b306,krakow,blockOfFlats,66.0,3.0,1.0,2.0,2019.0,50.1027787,19.8733288,7.03,0.0,1.059,1.123,1.658,1.773,1.85,3.659,2.036,condominium,yes,yes,yes,no,no,839000
6067891393bc25002cab561076fe9046,lodz,blockOfFlats,73.0,3.0,3.0,4.0,1965.0,51.8064416,19.460037,2.8,1.0,0.452,1.93,0.819,0.6,0.592,2.594,0.91,condominium,no,yes,no,no,no,489000
3d64466d6e107214ecea4c2c992f881c,gdansk,apartmentBuilding,60.0,3.0,2.0,5.0,2019.0,54.35842,18.65463,1.01,23.0,0.138,0.248,0.397,0.2,0.22,0.366,0.071,condominium,no,yes,yes,yes,no,1399000
4dd92ea3f12e4f524e3e657faef058b9,krakow,blockOfFlats,40.5,2.0,3.0,4.0,1960.0,50.0809,20.0177,6.33,25.0,0.137,1.321,0.337,0.168,0.3,1.241,0.272,cooperative,no,yes,no,no,yes,545000
e0abe58e48877026ebe3e31b93c314a7,warszawa,blockOfFlats,72.0,3.0,2.0,3.0,2004.0,52.23638745,21.08136854,5.32,29.0,0.183,0.259,0.123,0.273,0.255,0.192,0.241,cooperative,yes,no,no,no,no,940000
836f8dec40d4d2e84473028a15f96f04,warszawa,blockOfFlats,85.46,4.0,1.0,4.0,2012.0,52.155535,21.07083153,9.63,8.0,0.161,1.048,0.594,0.245,0.5,1.345,0.138,condominium,yes,yes,yes,no,no,1599000
771ac22ab709315ff79e742186247e0d,krakow,apartmentBuilding,75.7,3.0,3.0,6.0,2016.0,50.05493451,19.96181488,1.67,12.0,0.362,0.407,0.602,0.311,0.184,0.516,0.371,condominium,yes,yes,yes,no,no,1968200
1669e05cff34d5a76ed81ff6f44d51a1,wroclaw,blockOfFlats,63.2,3.0,6.0,7.0,1992.0,51.0839,17.0117,3.24,24.0,0.222,1.166,0.436,0.078,0.129,0.198,0.139,cooperative,no,yes,yes,no,yes,780000
4fc6a405bef3f4305f75b5d18201c6f4,krakow,blockOfFlats,61.2,3.0,3.0,4.0,2001.0,50.0468638,19.98272591,3.3,3.0,0.66,0.791,0.531,0.374,0.14,1.928,0.091,condominium,yes,yes,no,no,no,819000
4768ccd573e3e4b5a53786d6e3ae0373,wroclaw,blockOfFlats,58.4,3.0,4.0,4.0,1980.0,51.1087443,17.0143368,1.1,12.0,0.419,0.705,0.387,0.28,0.393,0.222,0.582,cooperative,yes,yes,no,no,yes,699000
c22c1a23f87d5d9f80325f107af361f3,lodz,apartmentBuilding,65.54,3.0,9.0,10.0,2012.0,51.7361208,19.4716331,5.18,20.0,0.262,0.142,0.113,0.171,0.179,0.728,0.11,condominium,yes,yes,yes,no,no,715000
c2a9f16c78599c991c3d383ec684e502,wroclaw,tenement,99.0,4.0,1.0,4.0,1930.0,51.11842818,17.03778276,1.02,39.0,0.063,0.201,0.117,0.194,0.196,0.166,0.172,condominium,no,no,no,no,yes,1150000
16ef554903a0770b51efb2477c5c9130,krakow,blockOfFlats,128.76,6.0,4.0,5.0,2005.0,50.08066335,19.97682022,3.93,18.0,0.227,1.075,0.261,0.282,0.137,2.075,0.213,condominium,no,yes,yes,no,no,1595000
2b640541abc2709fc224aba1ada72ee8,katowice,blockOfFlats,48.0,3.0,2.0,4.0,1975.0,50.2366,18.9931,3.15,0.0,0.622,0.647,1.081,0.613,0.713,2.012,0.622,cooperative,no,yes,no,no,yes,469000
8036314e24b754fb88794cda24fccbba,gdansk,blockOfFlats,82.5,3.0,17.0,17.0,2020.0,54.39359,18.64828,4.93,12.0,0.189,0.105,1.529,0.288,0.28,2.421,0.377,condominium,no,yes,yes,no,no,1299000
405e4b66615d3d7ed697d5195fe6ace7,bydgoszcz,blockOfFlats,38.0,2.0,9.0,10.0,1971.0,53.128374,18.0427305,2.89,16.0,0.304,0.852,0.305,0.213,0.183,0.42,0.207,cooperative,no,yes,no,no,yes,279000
8c4f75c179b1700924a2976f25e5134c,gdynia,blockOfFlats,46.0,3.0,3.0,4.0,1975.0,54.5528235,18.4950834,4.55,0.0,2.112,2.561,1.989,2.037,2.155,2.049,2.173,condominium,no,yes,no,no,yes,549000
29cbbba546bf48b0e2614dde0e1ddaa3,warszawa,tenement,89.0,3.0,3.0,4.0,1936.0,52.237922,21.028996,1.86,47.0,0.201,0.216,0.021,0.226,0.058,0.675,0.09,condominium,no,yes,yes,no,yes,1789000
b6d2e799c6012abd4168c22c23bfbe9d,krakow,apartmentBuilding,58.0,2.0,2.0,3.0,2000.0,50.098,19.9599,4.99,10.0,0.295,0.658,0.073,0.319,0.07,2.675,0.064,condominium,no,yes,no,yes,no,800000
f3198d00eb9355924415e2bb84d4f72d,warszawa,blockOfFlats,44.2,2.0,5.0,7.0,2001.0,52.18318219,20.86904747,10.64,3.0,0.986,3.963,1.294,0.182,0.054,3.933,1.285,condominium,no,yes,yes,yes,no,584000
12ae5c3f57fc06a1b2ccec702258c42d,krakow,blockOfFlats,35.16,2.0,4.0,5.0,2021.0,50.06552,20.02313,6.15,2.0,0.762,1.638,0.969,0.308,0.743,1.468,0.338,condominium,no,yes,yes,no,no,650000
97c8fe758b8320bde7b24ba0b149c914,warszawa,tenement,82.04,3.0,1.0,5.0,1938.0,52.2134,21.0208,2.35,27.0,0.175,0.456,0.19,0.156,0.058,0.707,0.093,condominium,no,yes,yes,no,yes,2100000
358eace5fb56d3c7ac5e49693bdf8436,warszawa,blockOfFlats,43.0,2.0,8.0,10.0,1969.0,52.2901622,20.9482501,7.51,7.0,0.318,0.481,0.267,0.436,0.506,1.015,0.702,condominium,no,yes,yes,no,yes,774000
f3dcf71ff29e7bcfdb86a7eca3113110,gdynia,tenement,112.8,6.0,4.0,5.0,1937.0,54.51967,18.54502,0.39,63.0,0.446,1.073,0.35,0.291,0.015,0.311,0.161,condominium,no,yes,yes,no,yes,1999000
e27d2a20d977029ab2ce9b3fd999bfbf,krakow,apartmentBuilding,80.0,3.0,4.0,4.0,2014.0,50.05675,19.96502,1.9,9.0,0.526,0.249,0.443,0.444,0.218,0.767,0.329,condominium,no,yes,yes,no,no,1680000
